Figure,Setting,Indicator,Group,Subgroup,Time,Start_Time,End_Time,Value,Measure
0,ED,,,,12,03/18/2020,03/24/2020,18198.0,Number of encounters
0,ED,,,,13,03/25/2020,03/31/2020,14257.0,Number of encounters
0,ED,,,,14,04/01/2020,04/07/2020,12209.0,Number of encounters
0,ED,,,,15,04/08/2020,04/14/2020,11724.0,Number of encounters
0,ED,,,,16,04/15/2020,04/21/2020,12203.0,Number of encounters
0,ED,,,,17,04/22/2020,04/28/2020,12641.0,Number of encounters
0,ED,,,,18,04/29/2020,05/05/2020,13339.0,Number of encounters
0,ED,,,,19,05/06/2020,05/12/2020,13564.0,Number of encounters
0,ED,,,,20,05/13/2020,05/19/2020,14776.0,Number of encounters
0,ED,,,,21,05/20/2020,05/26/2020,15865.0,Number of encounters
0,ED,,,,22,05/27/2020,06/02/2020,15973.0,Number of encounters
0,ED,,,,23,06/03/2020,06/09/2020,17006.0,Number of encounters
0,ED,,,,24,06/10/2020,06/16/2020,17252.0,Number of encounters
0,ED,,,,25,06/17/2020,06/23/2020,17904.0,Number of encounters
0,ED,,,,26,06/24/2020,06/30/2020,18917.0,Number of encounters
0,ED,,,,27,07/01/2020,07/07/2020,19147.0,Number of encounters
0,ED,,,,28,07/08/2020,07/14/2020,19291.0,Number of encounters
0,ED,,,,29,07/15/2020,07/21/2020,19192.0,Number of encounters
0,ED,,,,30,07/22/2020,07/28/2020,18951.0,Number of encounters
0,ED,,,,31,07/29/2020,08/04/2020,18600.0,Number of encounters
0,ED,,,,32,08/05/2020,08/11/2020,18907.0,Number of encounters
0,ED,,,,33,08/12/2020,08/18/2020,19031.0,Number of encounters
0,ED,,,,34,08/19/2020,08/25/2020,19218.0,Number of encounters
0,ED,,,,35,08/26/2020,09/01/2020,18719.0,Number of encounters
0,ED,,,,36,09/02/2020,09/08/2020,19180.0,Number of encounters
0,ED,,,,37,09/09/2020,09/15/2020,18941.0,Number of encounters
0,ED,,,,38,09/16/2020,09/22/2020,18671.0,Number of encounters
0,ED,,,,39,09/23/2020,09/29/2020,19371.0,Number of encounters
0,ED,,,,40,09/30/2020,10/06/2020,19720.0,Number of encounters
0,ED,,,,41,10/07/2020,10/13/2020,19690.0,Number of encounters
0,ED,,,,42,10/14/2020,10/20/2020,19240.0,Number of encounters
0,ED,,,,43,10/21/2020,10/27/2020,18780.0,Number of encounters
0,ED,,,,44,10/28/2020,11/03/2020,18429.0,Number of encounters
0,ED,,,,45,11/04/2020,11/10/2020,19981.0,Number of encounters
0,ED,,,,46,11/11/2020,11/17/2020,19332.0,Number of encounters
0,ED,,,,47,11/18/2020,11/24/2020,19225.0,Number of encounters
0,ED,,,,48,11/25/2020,12/01/2020,17955.0,Number of encounters
0,ED,,,,49,12/02/2020,12/08/2020,19562.0,Number of encounters
0,ED,,,,50,12/09/2020,12/15/2020,18514.0,Number of encounters
0,ED,,,,51,12/16/2020,12/22/2020,17826.0,Number of encounters
0,ED,,,,52,12/23/2020,12/29/2020,16970.0,Number of encounters
0,ED,,,,53,12/30/2020,01/05/2021,19220.0,Number of encounters
0,ED,,,,54,01/06/2021,01/12/2021,19171.0,Number of encounters
0,ED,,,,55,01/13/2021,01/19/2021,18872.0,Number of encounters
0,ED,,,,56,01/20/2021,01/26/2021,18746.0,Number of encounters
0,ED,,,,57,01/27/2021,02/02/2021,17992.0,Number of encounters
0,ED,,,,58,02/03/2021,02/09/2021,19133.0,Number of encounters
0,ED,,,,59,02/10/2021,02/16/2021,18914.0,Number of encounters
0,ED,,,,60,02/17/2021,02/23/2021,19400.0,Number of encounters
0,ED,,,,61,02/24/2021,03/02/2021,20130.0,Number of encounters
0,ED,,,,62,03/03/2021,03/09/2021,19227.0,Number of encounters
0,ED,,,,63,03/10/2021,03/16/2021,18866.0,Number of encounters
0,ED,,,,64,03/17/2021,03/23/2021,20158.0,Number of encounters
0,ED,,,,65,03/24/2021,03/30/2021,20425.0,Number of encounters
0,ED,,,,66,03/31/2021,04/06/2021,21277.0,Number of encounters
0,ED,,,,67,04/07/2021,04/13/2021,22000.0,Number of encounters
0,ED,,,,68,04/14/2021,04/20/2021,22240.0,Number of encounters
0,ED,,,,69,04/21/2021,04/27/2021,21814.0,Number of encounters
0,ED,,,,70,04/28/2021,05/04/2021,22520.0,Number of encounters
0,ED,,,,71,05/05/2021,05/11/2021,22148.0,Number of encounters
0,ED,,,,72,05/12/2021,05/18/2021,23170.0,Number of encounters
0,ED,,,,73,05/19/2021,05/25/2021,22772.0,Number of encounters
0,ED,,,,74,05/26/2021,06/01/2021,22915.0,Number of encounters
0,ED,,,,75,06/02/2021,06/08/2021,23846.0,Number of encounters
0,ED,,,,76,06/09/2021,06/15/2021,23434.0,Number of encounters
0,ED,,,,77,06/16/2021,06/22/2021,23358.0,Number of encounters
0,ED,,,,78,06/23/2021,06/29/2021,23679.0,Number of encounters
0,ED,,,,79,06/30/2021,07/06/2021,24005.0,Number of encounters
0,ED,,,,80,07/07/2021,07/13/2021,23599.0,Number of encounters
0,ED,,,,81,07/14/2021,07/20/2021,23592.0,Number of encounters
0,ED,,,,82,07/21/2021,07/27/2021,23696.0,Number of encounters
0,ED,,,,83,07/28/2021,08/03/2021,23729.0,Number of encounters
0,ED,,,,84,08/04/2021,08/10/2021,23904.0,Number of encounters
0,ED,,,,85,08/11/2021,08/17/2021,24070.0,Number of encounters
0,ED,,,,86,08/18/2021,08/24/2021,23947.0,Number of encounters
0,ED,,,,87,08/25/2021,08/31/2021,24699.0,Number of encounters
0,ED,,,,88,09/01/2021,09/07/2021,24202.0,Number of encounters
0,ED,,,,89,09/08/2021,09/14/2021,23982.0,Number of encounters
0,ED,,,,90,09/15/2021,09/21/2021,23993.0,Number of encounters
0,ED,,,,91,09/22/2021,09/28/2021,23445.0,Number of encounters
0,ED,,,,92,09/29/2021,10/05/2021,23940.0,Number of encounters
0,ED,,,,93,10/06/2021,10/12/2021,23093.0,Number of encounters
0,ED,,,,94,10/13/2021,10/19/2021,23033.0,Number of encounters
0,ED,,,,95,10/20/2021,10/26/2021,22606.0,Number of encounters
0,ED,,,,96,10/27/2021,11/02/2021,22270.0,Number of encounters
0,ED,,,,97,11/03/2021,11/09/2021,22517.0,Number of encounters
0,ED,,,,98,11/10/2021,11/16/2021,22500.0,Number of encounters
0,ED,,,,99,11/17/2021,11/23/2021,22822.0,Number of encounters
0,ED,,,,100,11/24/2021,11/30/2021,21860.0,Number of encounters
0,ED,,,,101,12/01/2021,12/07/2021,23216.0,Number of encounters
0,ED,,,,102,12/08/2021,12/14/2021,22448.0,Number of encounters
0,ED,,,,103,12/15/2021,12/21/2021,24289.0,Number of encounters
0,ED,,,,104,12/22/2021,12/28/2021,24775.0,Number of encounters
0,ED,,,,105,12/29/2021,01/04/2022,25434.0,Number of encounters
0,ED,,,,106,01/05/2022,01/11/2022,22691.0,Number of encounters
0,ED,,,,107,01/12/2022,01/18/2022,20480.0,Number of encounters
0,ED,,,,108,01/19/2022,01/25/2022,20009.0,Number of encounters
0,ED,,,,109,01/26/2022,02/01/2022,19263.0,Number of encounters
0,ED,,,,110,02/02/2022,02/08/2022,19911.0,Number of encounters
0,ED,,,,111,02/09/2022,02/15/2022,20790.0,Number of encounters
0,ED,,,,112,02/16/2022,02/22/2022,21273.0,Number of encounters
0,ED,,,,113,02/23/2022,03/01/2022,21104.0,Number of encounters
0,ED,,,,114,03/02/2022,03/08/2022,21400.0,Number of encounters
0,ED,,,,115,03/09/2022,03/15/2022,21148.0,Number of encounters
0,ED,,,,116,03/16/2022,03/22/2022,22646.0,Number of encounters
0,ED,,,,117,03/23/2022,03/29/2022,21876.0,Number of encounters
0,ED,,,,118,03/30/2022,04/05/2022,22419.0,Number of encounters
0,ED,,,,119,04/06/2022,04/12/2022,21798.0,Number of encounters
0,ED,,,,120,04/13/2022,04/19/2022,22270.0,Number of encounters
0,ED,,,,121,04/20/2022,04/26/2022,23696.0,Number of encounters
0,ED,,,,122,04/27/2022,05/03/2022,24161.0,Number of encounters
0,ED,,,,123,05/04/2022,05/10/2022,24631.0,Number of encounters
0,ED,,,,124,05/11/2022,05/17/2022,25702.0,Number of encounters
0,ED,,,,125,05/18/2022,05/24/2022,25185.0,Number of encounters
0,ED,,,,126,05/25/2022,05/31/2022,24977.0,Number of encounters
0,ED,,,,127,06/01/2022,06/07/2022,24956.0,Number of encounters
0,ED,,,,128,06/08/2022,06/14/2022,23899.0,Number of encounters
0,ED,,,,129,06/15/2022,06/21/2022,23896.0,Number of encounters
0,ED,,,,130,06/22/2022,06/28/2022,24020.0,Number of encounters
0,ED,,,,131,06/29/2022,07/05/2022,23622.0,Number of encounters
0,ED,,,,132,07/06/2022,07/12/2022,24105.0,Number of encounters
